RMS,Peak,Peak_Peak,Crest,Mean,Kurtosis,Health_State
557.2946632071141,2709.969482421875,2710.435093075037,4.862722831090052,193.33263507156704,-1.2003701191648746,0
564.2768270130113,2709.969482421875,2710.435093075037,4.8025532020640425,196.31829907900456,-1.2004533172643543,0
569.575148282199,2709.969482421875,2710.435093075037,4.75787872872432,198.5594442488454,-1.200527213735115,0
574.5401334645682,2709.969482421875,2710.435093075037,4.716762719569004,200.61272557661965,-1.2005905061690987,0
578.9174972637098,2709.969482421875,2710.435093075037,4.681097902949413,202.19558614548532,-1.2006421135041636,0
588.8716494163186,2750.0,2750.467066347599,4.669948031503574,206.90512777917937,-1.2006811758993896,0
599.6731151632214,2800.0,2800.467066347599,4.669210490181613,212.2071210187861,-1.2007070546358927,0
611.5615033361988,2850.0,2850.467066347599,4.660201769491115,217.83062171766144,-1.200719332043162,0
623.5558952853262,2900.0,2900.467066347599,4.650745862442725,223.67976691236842,-1.2007178114508832,0
634.7842469595254,2950.0,2950.467066347599,4.647248280230394,229.14973814171333,-1.2007025171662584,0
645.8785137856612,3000.0,3000.467066347599,4.644836352298241,234.60715570120996,-1.2006736944768095,0
657.7253510384453,3050.0,3050.467066347599,4.637193921725121,240.341437976252,-1.2006318096786694,0
669.2804982856776,3100.0,3100.467066347599,4.631839726303794,245.84292464667362,-1.200577550130356,0
680.1470585781432,3150.0,3150.467066347599,4.63135135302227,250.54383758817906,-1.2005118243320598,0
688.354626170402,3200.0,3200.467066347599,4.64876660712358,253.4242265974274,-1.2004357620304345,0
697.2539359811753,3250.0,3250.467066347599,4.661142565551246,256.74432062341646,-1.2003507143489123,0
704.8818033250383,3300.0,3300.467066347599,4.6816359628428215,259.33882802752134,-1.200258253943585,0
713.9644600142536,3350.0,3350.467066347599,4.692110304668555,262.8449079301711,-1.2001601751846436,0
723.9831551787398,3400.0,3400.467665374279,4.696241860987214,266.78358348000336,-1.2000584943634334,0
735.0564843123758,3450.0,3450.4701187312603,4.693516857044497,271.82122202444407,-1.1999554499251466,0
744.2076240356972,3500.0,3500.4701187312603,4.702988637794601,275.12687922029534,-1.199853502727181,0
750.692719167036,3550.0,3550.475380986929,4.728965539907005,276.24854624657445,-1.1997553363232296,0
755.9758017227153,3600.0,3600.479137033224,4.76205718727548,276.1558917766811,-1.199663857273123,0
764.0493089800813,3650.0,3650.479137033224,4.777178589261908,278.2852867019262,-1.1995821954784964,0
772.8187970084216,3700.0,3700.479137033224,4.787668227432724,281.04805787164645,-1.199513704544306,0
780.0007492412819,3750.0,3750.479137033224,4.807687689592195,282.2642665870826,-1.1994619621662943,0
786.9769883033928,3800.0,3800.479137033224,4.828603703130182,283.8658173038116,-1.199430770544429,0
794.9232536573297,3850.0,3850.479137033224,4.843234843472867,286.1511704594202,-1.1994241568224009,0
802.5043246841844,3902.0,3902.479137033224,4.862279093057328,287.9007572295905,-1.19914908834377,0
810.704156201476,3952.0,3952.479137033224,4.874774564518021,290.3425586357143,-1.1988670072974699,0
819.5632736821244,4002.0,4002.479137033224,4.883088503978296,293.0670483137981,-1.1987158643357676,0
827.6977803787147,4052.0,4052.479137033224,4.895506664456681,295.25939926333155,-1.1986903484557931,0
836.7602956042775,4102.0,4102.479137033224,4.90224024914768,298.02470106810114,-1.1987858379990541,0
849.1289080853642,4152.0,4152.479137033224,4.889716932805912,303.1958689308268,-1.19884458553305,0
857.7938392762454,4202.0,4202.479137033224,4.898612938914779,305.6720916673631,-1.1988746184273729,0
867.9368635404586,4252.0,4252.479137033224,4.8989738523783695,308.6641511282845,-1.198951214903299,0
877.0926333224555,4302.0,4302.479137033224,4.904841104073447,311.27900362109705,-1.199066439999051,0
886.714342084264,4352.0,4352.479137033224,4.908006776760167,314.08778407689067,-1.1992128147177774,0
896.7390937645866,4402.0,4402.479137033224,4.90889717043564,317.0496906301793,-1.199383314295073,0
908.0560455942509,4452.0,4452.479137033224,4.902781080089079,321.099362129701,-1.1995713665725165,0
917.021378623479,4502.0,4502.479137033224,4.909373003667434,323.51179402552134,-1.1997708504767304,0
926.5680353984651,4552.0,4552.479137033224,4.91275311266532,326.0969673484032,-1.1999760946034295,0
936.2424817726493,4602.0,4602.479137033224,4.915393276415669,328.87200161203486,-1.2001818759060472,0
945.6022745203503,4652.0,4652.479137033224,4.919615916067558,331.4657203073127,-1.2003834184884605,0
954.8586701566214,4702.0,4702.479137033224,4.924288951818127,333.94806709418185,-1.2005763925014767,0
966.8271975764327,4752.0,4752.479137033224,4.915045844709318,338.8379832738415,-1.200756913142681,0
979.6325207678426,4802.0,4802.479137033224,4.9018380854038615,344.71314300213817,-1.2009215397593518,0
990.476167611171,4852.0,4852.479137033224,4.898653959238662,348.4093869245431,-1.2010672750541298,0
1000.8011909527444,4902.0,4902.479137033224,4.8980757060584486,351.3597746159081,-1.201191564393214,0
1011.8636638537271,4952.0,4952.479137033224,4.893939941612382,354.6387378749032,-1.2012922952168248,0
1022.1780517814075,5002.0,5002.479137033224,4.893472317550481,357.5069854557728,-1.2013677965517777,0
1032.538594861708,5052.0,5052.479137033224,4.892795315488072,360.3645402260047,-1.201416838625981,0
1043.1163748571394,5102.0,5102.479137033224,4.8911129409685925,363.38378777798295,-1.2014386325847681,0
1054.2039061384774,5152.0,5152.479137033224,4.887100085667153,366.69093349730747,-1.2014328303089272,0
1063.161075074202,5202.0,5202.479137033224,4.892955660210691,367.7506268716581,-1.2013995243344138,0
1073.5501629638231,5252.0,5252.479137033224,4.892179407341755,370.3882711080058,-1.201339247873689,0
